SpaceType,Type,MajorCategory,MinorCategory,Status
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BEDROOM,NON EMERGENCY,WATER LEAK,DAMP SPOT,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
KITCHEN,NON EMERGENCY,GENERAL,CABINET,CLOSE
BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
KITCHEN,NON EMERGENCY,WATER LEAK,SLOW LEAK,CLOSE
YARD,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,NON EMERGENCY,GENERAL,JANITOR/SUPER,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,EMERGENCY,PLUMBING,TOILET,CLOSE
ENTRANCE/FOYER,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,GENERAL,COOKING GAS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,GENERAL,CABINET,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,GENERAL,COOKING GAS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING ENTRANCE,EMERGENCY,OUTSIDE BUILDING,PAVEMENT,OPEN
ENTRANCE/FOYER,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
COURTYARD,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BASEMENT,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ELEVATOR,NON EMERGENCY,ELEVATOR,MAINTENANCE,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
HALLWAY,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
COURTYARD,NON EMERGENCY,OUTSIDE BUILDING,PAVEMENT,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
OTHER ROOM/AREA,NON EMERGENCY,DOOR/WINDOW,WINDOW FRAME,OPEN
HALLWAY,NON EMERGENCY,GENERAL,SIGNAGE MISSING,OPEN
LAUNDRY ROOM,NON EMERGENCY,GENERAL,VENTILATION SYSTEM,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ROOF,EMERGENCY,OUTSIDE BUILDING,ROOF DOOR/HATCH,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,DOOR/WINDOW,WINDOW PANE,CLOSE
BUILDING-WIDE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BOILER ROOM,EMERGENCY,PLUMBING,BOILER,OPEN
BUILDING ENTRANCE,NON EMERGENCY,GENERAL,SIGNAGE MISSING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BEDROOM,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
LIVING ROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
KITCHEN,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
PRIVATE HALL,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
ENTRANCE/FOYER,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
LIVING ROOM,NON EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
ROOF,EMERGENCY,OUTSIDE BUILDING,ROOF DOOR/HATCH,OPEN
KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
PRIVATE HALL,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
HALLWAY,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,SEWAGE,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
KITCHEN,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
STAIRS,EMERGENCY,ELECTRIC,NO LIGHTING,OPEN
KITCHEN,NON EMERGENCY,GENERAL,CABINET,OPEN
ENTIRE APARTMENT,EMERGENCY,GENERAL,COOKING GAS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
PRIVATE HALL,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,SEWAGE,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
PRIVATE HALL,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
BUILDING-WIDE,NON EMERGENCY,GENERAL,JANITOR/SUPER,OPEN
ELEVATOR,NON EMERGENCY,ELEVATOR,MAINTENANCE,OPEN
ENTIRE APARTMENT,EMERGENCY,SAFETY,CARBON MONOXIDE DETECTOR,OPEN
BATHROOM,NON EMERGENCY,GENERAL,CABINET,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
ENTRANCE/FOYER,EMERGENCY,DOOR/WINDOW,DOOR,CLOSE
ENTIRE APARTMENT,EMERGENCY,SAFETY,SMOKE DETECTOR,OPEN
ENTIRE APARTMENT,NON EMERGENCY,ELECTRIC,OUTLET/SWITCH,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
OTHER ROOM/AREA,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BUILDING-WIDE,NON EMERGENCY,GENERAL,JANITOR/SUPER,OPEN
ENTIRE APARTMENT,NON EMERGENCY,ELECTRIC,POWER OUTAGE,CLOSE
BEDROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
KITCHEN,EMERGENCY,PAINT/PLASTER,CEILING,OPEN
LIVING ROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,CLOSE
KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
BATHROOM,EMERGENCY,PLUMBING,TOILET,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
OTHER ROOM/AREA,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
HALLWAY,EMERGENCY,WATER LEAK,HEAVY FLOW,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BUILDING-WIDE,EMERGENCY,GENERAL,COOKING GAS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ROOF,EMERGENCY,OUTSIDE BUILDING,ROOF DOOR/HATCH,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BEDROOM,NON EMERGENCY,DOOR/WINDOW,WINDOW FRAME,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING ENTRANCE,EMERGENCY,OUTSIDE BUILDING,PORCH/BALCONY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,SAFETY,SMOKE DETECTOR,CLOSE
YARD,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,NON EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BEDROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,OPEN
ENTRANCE/FOYER,EMERGENCY,DOOR/WINDOW,DOOR,OPEN
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING ENTRANCE,EMERGENCY,ELECTRIC,WIRING,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,OPEN
ENTIRE APARTMENT,NON EMERGENCY,GENERAL,CABINET,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,CLOSE
KITCHEN,EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BEDROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,CLOSE
BUILDING-WIDE,IMMEDIATE EMERGENCY,PLUMBING,WATER SUPPLY,CLOSE
BEDROOM,NON EMERGENCY,ELECTRIC,OUTLET/SWITCH,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
KITCHEN,NON EMERGENCY,FLOORING/STAIRS,FLOOR,OPEN
BEDROOM,EMERGENCY,DOOR/WINDOW,WINDOW PANE,CLOSE
BATHROOM,IMMEDIATE EMERGENCY,PLUMBING,STEAM PIPE/RISER,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,NON EMERGENCY,ELECTRIC,LIGHTING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
KITCHEN,NON EMERGENCY,GENERAL,CABINET,OPEN
BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,OPEN
BATHROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,CLOSE
PRIVATE HALL,EMERGENCY,ELECTRIC,NO LIGHTING,OPEN
BUILDING ENTRANCE,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,GENERAL,COOKING GAS,OPEN
ENTIRE APARTMENT,EMERGENCY,PLUMBING,WATER SUPPLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,NON EMERGENCY,PLUMBING,BATHTUB/SHOWER,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BEDROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BATHROOM,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
PRIVATE HALL,EMERGENCY,WATER LEAK,HEAVY FLOW,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BEDROOM,EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,ELECTRIC,NO LIGHTING,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,CLOSE
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BATHTUB/SHOWER,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
PRIVATE HALL,EMERGENCY,ELECTRIC,LIGHTING,CLOSE
ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OPEN
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
BATHROOM,IMMEDIATE EMERGENCY,PAINT/PLASTER,CEILING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
PRIVATE HALL,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,OPEN
LIVING ROOM,EMERGENCY,UNSANITARY CONDITION,MOLD,CLOSE
BATHROOM,EMERGENCY,PLUMBING,BASIN/SINK,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,APARTMENT ONLY,OPEN
ENTIRE APARTMENT,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
BUILDING-WIDE,EMERGENCY,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE
OTHER ROOM/AREA,NON EMERGENCY,WATER LEAK,DAMP SPOT,CLOSE
